Valor_ADC_12bits	Frecuencia
2836	1
2838	1
2846	1
2848	1
2850	3
2851	2
2853	3
2855	1
2857	1
2858	1
2859	1
2861	2
2865	3
2866	2
2869	4
2870	1
2871	1
2872	4
2873	2
2874	1
2875	2
2876	2
2877	3
2878	2
2879	1
2880	3
2881	4
2882	1
2883	1
2884	2
2885	4
2886	1
2887	4
2888	6
2889	3
2890	7
2891	3
2892	5
2893	2
2894	1
2895	3
2896	4
2897	4
2898	4
2899	3
2900	5
2901	5
2902	5
2903	3
2904	4
2905	3
2906	4
2907	7
2908	5
2909	3
2910	1
2912	8
2913	3
2914	6
2915	1
2916	4
2917	4
2918	4
2920	7
2921	4
2922	1
2923	1
2924	4
2925	2
2926	4
2927	3
2928	8
2929	8
2930	9
2931	6
2932	9
2933	3
2934	5
2935	2
2936	3
2937	6
2938	7
2939	2
2940	10
2941	5
2942	4
2943	1
2944	3
2945	3
2946	6
2947	6
2948	6
2949	4
2950	2
2951	3
2952	6
2953	3
2954	4
2955	5
2956	3
2957	5
2958	7
2959	4
2960	5
2961	4
2962	8
2963	5
2964	12
2965	8
2966	5
2967	4
2968	6
2969	1
2970	8
2971	10
2972	4
2973	6
2974	12
2975	7
2976	4
2977	4
2978	7
2979	8
2980	7
2981	8
2982	9
2983	7
2984	13
2985	9
2986	4
2987	3
2988	7
2989	7
2990	11
2991	6
2992	7
2993	7
2994	4
2995	4
2996	3
2997	5
2998	4
2999	4
3000	12
3001	12
3002	2
3003	8
3004	3
3005	8
3006	7
3007	5
3008	7
3009	7
3010	13
3011	5
3012	10
3013	4
3014	7
3015	5
3016	9
3017	5
3018	10
3019	13
3020	9
3021	6
3022	9
3023	6
3024	12
3025	8
3026	7
3027	6
3028	7
3029	7
3030	9
3031	7
3032	8
3033	5
3034	8
3035	5
3036	18
3037	9
3038	8
3039	10
3040	6
3041	7
3042	13
3043	7
3044	14
3045	8
3046	10
3047	5
3048	8
3049	12
3050	6
3051	11
3052	8
3053	10
3054	8
3055	9
3056	16
3057	12
3058	4
3059	10
3060	7
3061	9
3062	4
3063	4
3064	11
3065	5
3066	5
3067	8
3068	5
3069	8
3070	11
3071	8
3072	19
3073	10
3074	6
3075	13
3076	5
3077	10
3078	9
3079	5
3080	7
3081	12
3082	12
3083	8
3084	12
3085	13
3086	7
3087	4
3088	13
3089	9
3090	4
3091	6
3092	18
3093	15
3094	8
3095	3
3096	8
3097	8
3098	16
3099	8
3100	8
3101	8
3102	7
3103	10
3104	13
3105	10
3106	9
3107	7
3108	13
3109	10
3110	6
3111	3
3112	11
3113	11
3114	11
3115	8
3116	15
3117	7
3118	12
3119	8
3120	9
3121	9
3122	11
3123	9
3124	9
3125	9
3126	9
3127	8
3128	8
3129	8
3130	11
3131	9
3132	8
3133	11
3134	9
3135	7
3136	9
3137	17
3138	14
3139	13
3140	11
3141	4
3142	15
3143	8
3144	19
3145	11
3146	13
3147	11
3148	10
3149	9
3150	5
3151	10
3152	18
3153	15
3154	9
3155	16
3156	5
3157	5
3158	11
3159	5
3160	10
3161	10
3162	10
3163	7
3164	10
3165	6
3166	10
3167	11
3168	10
3169	11
3170	11
3171	10
3172	11
3173	12
3174	14
3175	9
3176	10
3177	7
3178	11
3179	11
3180	9
3181	12
3182	8
3183	9
3184	14
3185	12
3186	9
3187	9
3188	15
3189	9
3190	9
3191	7
3192	8
3193	6
3194	8
3195	12
3196	11
3197	14
3198	11
3199	6
3200	12
3201	10
3202	9
3203	13
3204	12
3205	16
3206	11
3207	15
3208	9
3209	11
3210	12
3211	7
3212	15
3213	11
3214	14
3215	10
3216	8
3217	14
3218	11
3219	6
3220	13
3221	14
3222	8
3223	7
3224	16
3225	9
3226	11
3227	11
3228	17
3229	10
3230	17
3231	10
3232	12
3233	10
3234	10
3235	5
3236	11
3237	8
3238	14
3239	4
3240	14
3241	10
3242	19
3243	9
3244	12
3245	12
3246	8
3247	7
3248	17
3249	8
3250	9
3251	9
3252	14
3253	6
3254	10
3255	7
3256	17
3257	14
3258	12
3259	12
3260	6
3261	17
3262	10
3263	15
3264	18
3265	22
3266	15
3267	11
3268	14
3269	9
3270	11
3271	9
3272	9
3273	8
3274	10
3275	10
3276	9
3277	12
3278	7
3279	7
3280	19
3281	18
3282	11
3283	13
3284	9
3285	14
3286	12
3287	14
3288	16
3289	10
3290	12
3291	15
3292	7
3293	8
3294	7
3295	14
3296	12
3297	11
3298	11
3299	12
3300	11
3301	12
3302	6
3303	9
3304	12
3305	9
3306	13
3307	14
3308	12
3309	10
3310	15
3311	4
3312	11
3313	10
3314	13
3315	14
3316	14
3317	11
3318	8
3319	1
3320	11
3321	8
3322	15
3323	15
3324	11
3325	4
3326	12
3327	11
3328	15
3329	9
3330	6
3331	18
3332	6
3333	15
3334	11
3335	4
3336	14
3337	7
3338	10
3339	13
3340	6
3341	9
3342	10
3343	5
3344	12
3345	12
3346	18
3347	15
3348	8
3349	4
3350	11
3351	5
3352	9
3353	13
3354	12
3355	4
3356	13
3357	6
3358	14
3359	9
3360	13
3361	8
3362	9
3363	10
3364	10
3365	5
3366	11
3367	9
3368	11
3369	10
3370	11
3371	9
3372	5
3373	10
3374	6
3375	6
3376	13
3377	7
3378	15
3379	14
3380	8
3381	11
3382	6
3383	9
3384	8
3385	11
3386	11
3387	10
3388	11
3389	5
3390	8
3391	9
3392	15
3393	7
3394	9
3395	8
3396	10
3397	17
3398	14
3399	10
3400	9
3401	10
3402	16
3403	12
3404	16
3405	10
3406	6
3407	14
3408	13
3409	8
3410	7
3411	11
3412	9
3413	8
3414	10
3415	7
3416	7
3417	7
3418	11
3419	6
3420	11
3421	12
3422	7
3423	11
3424	10
3425	15
3426	9
3427	11
3428	11
3429	6
3430	7
3431	5
3432	5
3433	8
3434	5
3435	15
3436	10
3437	7
3438	7
3439	9
3440	12
3441	13
3442	13
3443	4
3444	11
3445	9
3446	11
3447	10
3448	14
3449	9
3450	8
3451	3
3452	18
3453	11
3454	5
3455	6
3456	13
3457	10
3458	8
3459	7
3460	13
3461	13
3462	8
3463	8
3464	7
3465	6
3466	11
3467	10
3468	8
3469	10
3470	11
3471	8
3472	6
3473	10
3474	13
3475	15
