"Time (s)"	"Angular velocity (rad/s)"	"Acceleration (m/s^2)"
5.666558334E-2	1.321828842E-1	7.207743268E-1
5.551665833E-1	1.783476857E0	4.850069338E0
1.552169250E0	9.740604554E0	1.822531186E1
2.050670875E0	9.575867519E0	1.720504763E1
2.549171875E0	9.404200680E0	1.648213406E1
3.047672958E0	9.280019324E0	1.679158261E1
3.546173958E0	9.096975812E0	1.605421225E1
4.044674333E0	8.910024310E0	1.465765792E1
4.543174333E0	8.759979574E0	1.477427439E1
5.041676125E0	8.658565622E0	1.455550475E1
5.540177125E0	8.489594507E0	1.326373515E1
6.038676375E0	8.298070241E0	1.323730626E1
6.537177375E0	8.172976086E0	1.313059885E1
7.035678083E0	7.941027496E0	1.164254164E1
7.534178083E0	7.791195422E0	1.200800859E1
8.032678750E0	7.610728919E0	1.086240430E1
8.531178750E0	7.452647966E0	1.029889167E1
9.029679083E0	7.353251948E0	1.067799446E1
9.528179083E0	7.132110057E0	9.293437879E0
1.002667833E1	7.018407279E0	9.961857607E0
1.052517733E1	6.806803176E0	8.406047493E0
1.102367746E1	6.706253166E0	9.076483339E0
1.152217746E1	1.863032930E0	3.090817911E0
1.202067621E1	1.394274717E0	1.085438972E0
1.251917621E1	3.132046272E0	2.883474070E0
1.301767571E1	2.190722013E-2	7.873882124E-1
1.351617471E1	5.876435489E-2	5.674301264E-1
