"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.073983334E-2	-3.828125310E-1	9.024814832E-1	-2.223589693E0	2.430096579E0
3.071183334E-2	-6.285651577E-1	9.711283797E-1	-1.333305502E0	1.765187823E0
4.068383334E-2	-1.560551691E0	1.273797219E0	2.017646080E-1	2.024497442E0
5.065483334E-2	-2.526222572E0	1.220866761E0	1.421993145E0	3.145533442E0
6.062683334E-2	-3.270335728E0	1.051010409E0	2.495123278E0	4.245628202E0
7.059883334E-2	-3.630186535E0	7.440049821E-1	3.128040519E0	4.849374721E0
8.057083334E-2	-3.282518109E0	4.409186518E-1	3.435065534E0	4.771688340E0
9.054283334E-2	-2.200603996E0	2.283738247E-1	3.399600416E0	4.056118285E0
1.005138333E-1	-1.017655844E0	-3.603755951E-2	2.897044510E0	3.070796154E0
1.104858333E-1	-4.934757650E-2	-1.938550794E-1	2.152631392E0	2.161905846E0
1.204578333E-1	4.555805451E-1	-9.213720828E-2	1.281063554E0	1.362779045E0
1.304298333E-1	6.982978821E-2	1.934524986E-1	4.668329269E-1	5.101304246E-1
1.404008333E-1	-5.813412899E-1	2.882007810E-1	2.315678662E-1	6.889419875E-1
1.503728333E-1	-6.263017005E-1	-2.441124827E-2	3.877499199E-1	7.370208474E-1
1.603448333E-1	-1.644704819E-1	-4.962923688E-1	8.248982871E-1	9.766339328E-1
1.703168333E-1	8.691769123E-2	-8.316676086E-1	1.333839353E0	1.574278602E0
1.802888333E-1	2.418466866E-1	-1.006002928E0	1.720841998E0	2.007941457E0
1.902598333E-1	2.893167222E-1	-1.071053495E0	1.759241248E0	2.079853246E0
2.002318333E-1	1.003388053E-1	-9.223678637E-1	1.435541729E0	1.709271894E0
2.102038333E-1	-1.571339804E-1	-7.129784864E-1	9.010524237E-1	1.159708964E0
2.201758333E-1	-2.930840832E-1	-6.854804930E-1	1.829248792E-1	7.676218454E-1
2.301478333E-1	1.380206019E-1	-7.395344934E-1	-4.818000448E-1	8.933600823E-1
2.401188333E-1	1.256237445E0	-6.666910502E-1	-8.086319178E-1	1.635999711E0
2.500908333E-1	2.221785243E0	-6.527898797E-1	-5.717769992E-1	2.385244899E0
2.600628333E-1	2.254143734E0	-1.024144207E0	8.473784924E-3	2.475905316E0
2.700348333E-1	1.611151741E0	-1.485520220E0	6.346719897E-1	2.281532115E0
2.800068333E-1	6.441175818E-1	-1.464646245E0	1.052813982E0	1.915331137E0
2.899778333E-1	-5.650591332E-1	-8.704168144E-1	1.223184890E0	1.604088068E0
2.999498333E-1	-1.657352931E0	-2.841694182E-1	1.152341779E0	2.038495173E0
3.099218333E-1	-2.785153946E0	-2.676545423E-1	6.422359478E-1	2.870747023E0
3.198938333E-1	-2.603365180E0	-7.104460573E-1	-2.426804996E-1	2.709453393E0
3.298648333E-1	-9.920710596E-1	-1.015141541E0	-9.812364614E-1	1.725555658E0
3.398368333E-1	7.469274205E-1	-1.064521570E0	-1.226862788E0	1.787819634E0
3.498088333E-1	1.909852952E0	-1.393109069E0	-9.868076885E-1	2.561655830E0
3.597808333E-1	2.085689836E0	-1.495886748E0	-6.110784745E-1	2.638407884E0
3.697528333E-1	1.955628757E0	-1.408010991E0	-5.691200244E-1	2.476060659E0
3.797238333E-1	1.280757452E0	-1.142629554E0	-7.818241882E-1	1.886051698E0
3.896958333E-1	9.154342353E-2	-7.265329170E-1	-1.262384039E0	1.459398417E0
3.996678333E-1	-8.036705554E-1	-8.680127317E-1	-2.023742387E0	2.344112991E0
4.096398333E-1	-9.193425143E-1	-1.356468954E0	-2.400941007E0	2.906839590E0
4.196118333E-1	-1.397372567E0	-1.411502656E0	-1.289543771E0	2.368103244E0
4.295828333E-1	-1.380235255E-3	-1.090398423E0	1.528752193E0	1.877778979E0
4.395548333E-1	4.128786215E-1	-1.390501504E0	1.108459010E0	1.825553222E0
4.495268333E-1	-8.799995238E-1	-1.871032703E0	-1.163364365E0	2.372462683E0
4.594988333E-1	-1.514643154E0	-1.286129728E0	-1.026496249E0	2.236508017E0
